title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4586,日常崩潰中,MYSTERY,HHAANN,THURSDAY,2,6051,9.5,33492,1448,ONGOING,False,每天同樣的日常生活讓鄭彗星覺得枯燥，唯一讓他感興趣的就是在家打遊戲。某天他和往常一樣和那那哥在打遊戲，卻從麥克風的另一頭傳來女人的求救聲，聲稱自己被綁架了。為了查明真相，彗星決定親自見那那哥一面，而他的日常也從此刻開始逐漸崩塌…
4585,戀愛播放清單,ROMANCE,2F,FRIDAY,4,18888,9.78,137500,6246,ONGOING,False,"一則不尋常的私訊，竟然是偶像歌手傳來的?!
而那位偶像竟然還是韓珠大學同科系的同學!一場奇妙的緣分就如同播放清單一樣，現正播放中!"
4584,天魔的不凡重生,FANTASY,"Altoran,ZAINO,San Cheon",FRIDAY,8,26694,8.42,402811,14546,ONGOING,False,"武林至尊白眾赫從無能公子羅曼的身體裡重生了？！
原先無權無勢，到處被無視的小少爺羅曼，從此再也過不上平凡的生活了⋯"
4581,獨居詭宅,THRILLER,LINE WEBTOON作家,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",8,16455,8.32,327146,22060,COMPLETED,False,"【建議15歲以上閱讀】你確定你的房間，只有你一人嗎？
今年鬼月特輯由Pony、JUJU C.、Jieya與M蜥聯手打造最貼近生活的房間鬼故事，完成任務還有Apple Watch SE、澳洲Cooksclub水果冰淇淋機、回饋型代幣與官方周邊套組送給你！"
4580,狩獵真心,LOCAL,啊哈哈,THURSDAY,7,11929,8.23,100198,5450,ONGOING,False,＜看見你的真心＞是由一組YouTxber企劃製作的戀愛實境節目。憧憬著戀愛的三男三女，即將在此展開為期二週的心跳同居生活。
4579,FIX：英雄們,LOCAL,Gami,SUNDAY,8,5465,9.6,42538,4504,ONGOING,False,"《滴水的推理書屋》MyVideo獨家線上首播！
8月6號起每周六晚上9點首播免費看，全集線上看每周同步更新
熱愛創作的少年，
以擄人勒贖案作為題材，
將警察父親往年偵辦的案件，
於部落格寫成小說《英雄們》。

然而，以事實為根據的創作，
竟引來網友阿鬼的質疑⋯⋯
提出一連串縝密的邏輯思考，
指向小說中種種不合理之處，
使得少年開始懷疑父親當年的辦案過程？
 
阿鬼嘗試將故事拆解、抽絲剝繭——
小說《英雄們》究竟出了什麼漏洞？
懸而未決的案件如何重新再被檢驗？
長期不睦的父子關係是否迎來轉機？
 
一切事物尚待「修復」，謎團將逐步揭曉⋯⋯
 
改編自作家臥斧小說《FIX》，
漫畫家Gami以率性流暢的作畫手法，
魅力演出兼具懸疑推理的精巧故事。"
4500,驚悚夢魘,THRILLER,kimyongki ,"TUESDAY,FRIDAY",16,13675,9.51,263782,10567,ONGOING,False,"《驚悚考試院》、《驚悚山莊》案發九年後，鍾宇和芷夢依舊活在極度驚恐的地獄之中。某天竟發生了疑似當時考試院及山莊的殺人事件！但當時的兇手大多已死亡，警方研判可能是模仿犯所為，負責偵辦前兩起懸案的刑警也為此找上了鍾宇及芷夢，那段不堪回首的噩夢再度浮現、夢魘漸漸成形…….！
"
4499,租借女友,ROMANCE,"Rusena,Seohae",TUESDAY,9,116682,9.15,2028985,75278,ONGOING,False,【建議15歲以上閱讀】 金露娜，除了外貌什麼都沒有，靠著租借女友服務的打工維生，遇見各式各樣的正常人或怪人...直到遇見了神秘的高富帥新客戶文晟炫，一場奇蹟人生逆轉故事即將開始！
4498,忠犬侯爵和我戀愛吧,WESTERN_PALACE,"JYUN,SHINJI",SATURDAY,11,29747,5.59,293280,11178,ONGOING,False,不想聽從父親要求的政策聯姻，我的男人我自己找！在初次參加的社交舞會上，偶然遇見了氣場不凡又帥氣的阿爾馮司，艾絲美拉妲毫不猶豫地提出了戀愛要求！然而卻在事後發現他就是傳說中冷酷無情、為達目的不擇手段的皇帝「忠犬」...？！還因此莫名被捲入了黑色鳶尾花的陰謀風暴中，她能成功馴服他嗎？
4497,渣男自有惡女收！,ROMANCE,EDDiERiNG,THURSDAY,10,44806,9.78,570929,34756,ONGOING,False,"權宇彬藉著帥氣的外貌周旋在各個富家女之間，這一天，他遇到了漂亮又有錢的尹秀智。

在一次次的約會後，權宇彬真心喜歡上了善良的尹秀智，但尹秀智卻不如外表上那般無害，她似乎默默策劃著什麼事…？

這場拉鋸戰中，到底暗藏了多少浪潮洶湧，而最後又會走向什麼樣的結局呢…？"
4496,自由幻夢,SCHOOL,2L,WEDNESDAY,9,18727,9.61,198679,10145,ONGOING,False,小學時期絕交的朋友，竟然在升上高中之後再次相遇…。女高中生崔淨玟在升上高中進入新班級時，竟然遇見了小學時絕交的朋友—河珠泫。河珠泫因為小學時的事情想對崔淨玟報仇，於是和班上其他同學聯合排擠她，因而飽受壓力的崔淨玟卻只能選擇在清醒夢裡報仇。某天，一個身穿病人衣服的白髮男子出現在自己的清醒夢裡…
4495,互換身體的理由,WESTERN_PALACE,"LUNA,FURIK,YOUNDAL",WEDNESDAY,6,23254,9.68,185455,9186,ONGOING,False,身為公爵家女兒、擁有絕世美貌的我，其實有著不為人知的秘密，還知道身邊的皇太子被反派下了詛咒，某天會因此殺害公爵全家！為避免滅門之禍，我苦等十五年長成亭亭玉立的淑女，終於要展開我的救援計畫！第一步，是先睡了皇太子…！
4494,雙重點擊,SCHOOL,"KIM JANGHUN,PARK SUBONG",TUESDAY,7,24584,9.69,321207,11533,ONGOING,False,志浩熱愛線上遊戲《壹劍》，還玩到世界排名第一，但這款遊戲難度過高，遊玩人數越來越少，最後結束營運。原本決心要用功念書的志浩卻發現《壹劍》換皮回來了！他抱著再次成為排名第一的夢想，加入電競社，展開熱血沸騰的職業選手挑戰記！
4490,戀愛，現在才開始,ROMANCE,"Dindon,Seo hye eun",SUNDAY,7,25968,9.83,230964,10208,ONGOING,False,"珠恩和慧貞兩姐妹過著窮困的生活。母親去世後，和兩人無緣的父親突然出現在她們面前。他表示只要兩姊妹當中有一人進入大星集團，就幫助她們擺脫窮困的生活。於是姊姊慧貞便接受父親的提議。
然而慧貞進入大星集團三年後卻與世長辭。

姊姊過世後，新機會找上了妹妹珠恩。重回三年前的珠恩代替姊姊成為「大星集團」的女兒，進入把姊姊引向死亡的那個家中。"
4489,赤紅一里塚,MARTIAL_ARTS,月升,MONDAY,8,10946,9.32,86757,4229,ONGOING,False,負責維持世間和平的最強鬼怪集團「紅暳」，某天由於同伴的背叛，鬼怪「燐」失去了紅暳、以及所有的朋友。紅暳最強戰力「玄鬼」踏上了憤怒復仇之路。
4488,鸚鵡殺手,MARTIAL_ARTS,"金聖鎮,張美臨",THURSDAY,8,5364,9.65,58675,2986,ONGOING,False,其貌不揚的船夫盧紹河，他的真實身份其實是傳說中的古派劍法的繼承人。因秦始皇留下的袐籍《仙筋經》，殺戮從此開始。
4487,戀愛遊戲通關攻略,ROMANCE,"Metal Gang,Daljo,Cherti",FRIDAY,9,24570,7.86,228656,11088,ONGOING,False,單身二十五年、從沒談過戀愛的平凡女大生藝媛，某天睜開眼睛後，竟發現自己變成了戀愛模擬遊戲中的女配角，而且還是最難破關的聖女角色！為了避免死亡的結局，藝媛下定決心攻略其中一位男主的心，然而這對聖女來說，當然沒那麼容易…
4486,汽車旅館304號房,THRILLER,Leemaleng,MONDAY,5,8617,8.64,79609,3253,ONGOING,False,為了就業面試來到首爾的「宇榮」，在入住高級汽車旅館後的那天夜晚，發現旅館裡的畫框後面藏著能看見對面房間的魔鏡。而且那間房的女人還是國民女團莉莉絲的成員「秀珍」。正想報警的瞬間，秀珍的房裡出現了身分不明的男人登門拜訪，向她伸出了刀。場面一觸即發的瞬間，宇榮奔向了秀珍的房間，304號房。
4485,告白可以取消嗎？,SCHOOL,shinmae,SATURDAY,9,37365,9.85,424301,25379,ONGOING,False,滿懷悸動準備告白的「潘小雪」，她的心意卻在陰錯陽差之下被流氓般的「薛柏夏」收下了?!
4484,99強化木棒,FANTASY,"HONGSIL,JIPERY",SUNDAY,8,41389,8.57,637825,32933,ONGOING,False,弱肉強食的虛擬現實遊戲「超時空人生」。因過時裝備而遭唾棄的「我」偶然獲得新手用基本武器「木棒」，並成功讓武器攻擊力+99，所以決定踏上復仇之路，用木棒狠狠地教訓曾經藐視我的傢伙⋯!!充滿狗血劇情！暢飲汽水般痛快的戰鬥世界正式上演！
4483,分手後社內結婚,ROMANCE,"MIMIK,Lee Dalli",MONDAY,9,33745,9.16,436316,15479,ONGOING,False,多媛與泰賢是公司內無人不知的辦公室情侶，本以為會順利步入禮堂的兩人卻因為泰賢的出軌而走向分手。正當多媛深受情傷所苦之時，公司內所有女性的理想型，同時也是多媛直屬上司的俊厚卻開始對多媛展開了一系列的溫情攻勢…
4482,Never End,LOCAL,"Pony,桑原",TUESDAY,12,13320,9.74,168008,14315,ONGOING,False,人們早已習慣了透過社群平台和通訊軟體來聯絡彼此，但是當蘇冠台收到父親傳來的訊息，感受到的卻是深度的焦慮和恐懼，他無法確認在那個帳號的背後，到底是人還是鬼⋯⋯
4481,青春被妄錄,SCHOOL,不二子,THURSDAY,11,14890,9.13,152530,9730,ONGOING,False,擅長妄想的少女章美滿，總是相信會有壞事發生在自己身上。雖然她所做的妄想，幾乎都沒有發生過。
4432,手一滑，這話超好看！百變潮漫代言人阿翰專訪,SLICE_OF_LIFE,LINE WEBTOON,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",3,14161,9.18,436059,96699,ONGOING,False,"LINE WEBTOON歡慶8週年《手一滑，這話超好看！》百變潮漫代言人 阿翰 人氣角色炫風登場！
獨家揭露歡喜冤家阿杰&澟月甜蜜互動、算命阿姨廖麗芳神準預測下半年運勢、房東阿姨租房精華祕密都在這裡，請密切鎖定《手一滑，這話超好看！百變潮漫代言人阿翰專訪》特輯。觀看特輯並完成《手一滑，這話超好看！》活動任務，還有iPhone 13 Pro、iPad Air及LINE POINTS等好禮你來抽。

超過300部全球優質潮漫連載中 ，週週隨手滑免費看！"
4424,不單純的同居生活,ROMANCE,"Hwang Han-Young,I-room",FRIDAY,12,32623,7.7,448301,11521,ONGOING,False,平凡的上班族侑璟，某天下班回到家後，家裡竟出現了一位眼熟男子表示從今天開始要跟她同居？原來是老弟的好友權理俊！「雖然對你很抱歉，但我還是希望你另找住處。」； 「難道姐姐是在擔心？怕我對妳做出什麼事？」 就這樣莫名其妙中了老弟圈套的侑璟，最後只好同意讓理俊在接下來的3個月期間，先借住老弟的房間，然而本來只像弟弟一般的他，態度卻非比尋常......
4423,拯救萬年墊底棒球隊,ROMANCE,"Peralta,Hongwa",THURSDAY,13,48791,7.57,1049723,53551,ONGOING,False,【建議15歲以上閱讀】 只要和他接吻，就會轟出全壘打，要是XX的話就會...贏球？！萬年墊底棒球隊「未來勝利隊」的球迷申承雅對他們失望透頂，在下定決心要脫粉的那一刻，一時衝動地和坐在隔壁的球迷崔尊接吻了，而這竟讓萬年墊底棒球隊奇蹟逆轉勝！隨著和崔尊的肢體接觸越來越多，承雅也發現他們之間的接觸會為棒球隊帶來正面影響！兩人於是攜手打造「贏球計畫」...?!
4422,終極小帳,FANTASY,JIXKSEE,SUNDAY,14,34175,6.89,531493,18155,ONGOING,False,在以「喚醒嶄新的自我吧！」為座右銘的MMORPG虛擬實境(VR)遊戲中，扮演「跑腿型治癒師」的弱弱高中生李奧凌，某一天在真實世界中化身為自己偷練的小帳角色「復仇者」！在面對各種怪物及艱難任務下，他能否擊敗危機、成為嶄新的他呢？
4421,撞臉,MYSTERY,Kang MinSeok,THURSDAY,16,13230,9.35,192228,9310,ONGOING,False,李江勛，身為眾多寂寞難耐貴夫人中的人氣牛郎，竟捲入一場轟動全國的連環殺人案！俊俏長相竟和通緝嫌疑犯撞臉！？頓時成為媒體及警方追捕對象的他，為了證明自己無罪而孤軍奮戰...！
4370,兒童之家,THRILLER,NANA,SATURDAY,12,18082,9.43,264815,13357,ONGOING,False,星慧被來歷不明的人綁架後，在翡翠福利院301號房醒來。在「翡翠福利院」這完全與外界隔絕的詭異空間中，孩子們只能默默遵守福利院的規則。在絕望與挫折之中，星慧突然想起她過往的朋友「麗溫」
4369,重生武林至尊,MARTIAL_ARTS,"studioM,Kiwon,武香",TUESDAY,12,21603,8.45,332663,11099,ONGOING,False,被彭家收留的彭枝奕，忠心耿耿地守護著彭家，不料卻遭背叛。在彭家滅門、彭枝奕將死之際竟回到了過去，而且進到彭家小兒子的身體裡，這次他誓死要守護好一切…
4368,我之所以決定去死,ROMANCE,YUJU,MONDAY,15,50816,9.82,719128,39964,ONGOING,False,高3生智梧面臨跆拳道國家代表選拔賽，卻在這重要關頭受了傷，她在公車上出遇車傑，車傑魅惑的笑容徹底迷惑了智梧，但她總覺得車傑身邊的人散發危險的氛圍。雖然知道頭腦知道需要警戒，但對車傑的在意卻無法停止。這傢伙... 真的可以喜歡上他嗎？
4367,魅惑公爵難以入眠,WESTERN_PALACE,"Goyogom,Sohwagi,Lemon Frog",SUNDAY,12,44475,8.94,552702,23386,ONGOING,False,"魅力爆棚導致周圍人都被魅惑？
悲慘公爵竟遇上免疫體質的她！"
